Žodis                   Pasikartojimų sk.       Eilutės numeris
liudą                   4                        1 9 79 94 
lovos                    2                        4 8 
lydėjo                  2                        79 121 
maironis                 2                        97 97 
maldas                   2                        49 66 
maldom                   3                        18 28 115 
maldų                   3                        29 38 67 
mazurkovskis             2                        175 178 
meditacijai              2                        18 115 
meditacijos              3                        11 29 32 
metu                     7                        17 27 28 34 80 98 180 
metų                    8                        39 63 72 76 79 111 113 125 
miego                    5                        1 6 17 42 43 
mokinių                 2                        80 91 
mokslo                   5                        17 33 39 75 80 
mokytis                  2                        163 179 
mūruose                 2                        14 53 
ne                       6                        33 116 131 134 160 183 
nebuvo                   6                        71 74 77 104 129 169 
nebūtų                 2                        86 155 
negalėjo                2                        1 42 
negu                     5                        68 83 88 129 149 
nei                      5                        67 67 74 176 176 
nes                      3                        11 77 182 
netrukus                 2                        4 84 
nieko                    3                        133 148 151 
noras                    2                        75 94 
nors                     3                        167 169 171 
nuo                      8                        7 9 19 64 75 121 129 145 
nuėjo                   2                        118 153 
nė                      4                        76 128 148 170 
o                        20                       23 25 27 34 34 37 38 66 88 97 108 111 113 121 131 134 145 152 157 180 
pa                       2                        3 77 
pagaliau                 5                        91 117 136 161 163 
pakrypo                  2                        63 111 
pamaldų                 2                        136 162 
pamokas                  2                        25 161 
pasaulio                 2                        54 87 
pasiūta                 2                        150 154 
paskutiniųjų           2                        7 98 
pat                      12                       3 5 10 29 60 67 74 76 106 127 129 165 
pats                     5                        23 92 114 119 179 
patys                    2                        139 140 
paveikslėlius           2                        128 138 
pačioj                  3                        63 159 165 
pašaukimo               3                        69 72 182 
per                      7                        13 40 44 52 151 152 161 
pietų                   2                        21 36 
pirmamečiai             2                        115 137 
pirmoji                  2                        94 128 
pirmos                   2                        50 55 
pirmą                   2                        9 11 
po                       17                       11 11 17 21 21 23 29 36 38 71 84 111 113 116 125 136 148 
porą                    2                        14 40 
pradžioj                2                        38 39 
pranešdavo              2                        22 31 
prie                     8                        4 15 40 48 49 121 141 141 
prieš                   4                        31 39 49 182 
priimti                  2                        11 119 
pro                      2                        2 48 
proga                    3                        83 132 162 
punktus                  2                        29 66 
pusiau                   2                        18 26 
pusių                   3                        55 121 153 
pusvalandžio            2                        17 23 
pusę                    2                        27 78 
raudonikis               2                        107 112 
reikia                   3                        47 83 105 
reikėdavo               2                        162 166 
reikėjo                 3                        71 116 148 
rekolekcijas             2                        9 38 
rekolekcijos             3                        39 67 68 
rekreacija               2                        22 27 
rektorius                3                        24 119 165 
religinio                2                        125 134 
religinį                2                        88 131 
ryto                     4                        2 10 29 48 
sako                     2                        103 104 
sanctissimum             2                        19 21 
sau                      3                        71 96 152 
savaičių               2                        14 40 
save                     2                        62 130 
savo                     19                       4 11 46 51 54 72 83 84 90 98 125 126 127 130 139 143 148 157 179 
seminarija               2                        5 157 
seminarijoj              7                        40 66 159 160 165 178 180 
seminarijos              13                       15 31 45 51 70 78 113 159 165 166 175 183 183 
seminariją              3                        73 89 100 
septintą                2                        18 26 
sienų                   2                        55 121 
silentium                2                        22 30 
skambalas                2                        23 34 
skambalo                 15                       1 4 16 17 18 19 22 23 24 26 28 30 41 42 45 
skambindavo              2                        18 21 
skirtas                  3                        23 30 76 
smūgiai                 10                       1 17 18 19 23 24 26 28 30 45 
smūgis                  2                        22 43 
sode                     2                        28 112 
sodą                    2                        13 45 
stanislovo               2                        56 122 
stovi                    2                        92 159 
su                       19                       6 13 35 41 46 50 51 51 51 58 66 74 105 116 134 138 150 167 170 
sutana                   2                        150 154 
sutanas                  2                        9 11 
sutanomis                2                        58 124 
sutanos                  2                        132 138 
sutaną                  4                        115 117 135 148 
svarstymo                2                        68 72 
sąžinės               2                        20 28 
ta                       3                        33 83 132 
tada                     5                        31 66 71 73 94 
tai                      13                       5 5 56 61 77 89 100 117 148 151 160 161 165 
taip                     15                       3 5 10 60 67 71 74 85 88 96 104 106 128 173 184 
tam                      5                        25 116 117 158 174 
tapo                     2                        97 185 
tapti                    2                        15 138 
tarsi                    2                        62 91 
tas                      7                        23 41 42 88 129 141 152 
tačiau                  2                        3 159 
tekinas                  2                        46 115 
teko                     2                        83 98 
teks                     2                        62 101 
ten                      4                        41 103 104 106 
tie                      3                        58 90 104 
tiesų                   3                        141 149 154 
tik                      14                       14 42 44 53 71 73 77 98 130 133 133 133 160 172 
tikra                    2                        51 169 
tikras                   2                        149 178 
tikrą                   2                        116 117 
tiktai                   2                        11 68 
tikįs                   2                        86 134 
tinkamai                 2                        150 174 
to                       10                       10 15 40 44 53 67 82 84 89 150 
trukdavo                 2                        22 39 
trumpai                  2                        20 31 
tuo                      5                        10 80 106 115 180 
tuos                     3                        59 92 112 
turėdavo                2                        19 162 
turėjo                  5                        33 46 74 86 150 
tą                      4                        37 40 95 96 
tėvas                   3                        29 69 100 
tėvo                    4                        38 49 77 155 
tėvų                   4                        75 83 89 135 
tų                      6                        52 61 63 67 67 162 
už                      6                        25 37 56 86 99 146 
užsivilkimo             2                        132 138 
vaikščiojo             2                        99 139 
vakarinių               2                        29 38 
val                      3                        33 34 36 
valanda                  2                        2 19 
valandos                 4                        21 22 27 29 
valandą                 10                       17 18 20 22 23 24 26 28 30 33 
valandėlę              2                        1 99 
variokas                 3                        6 149 149 
vasario                  4                        47 63 111 168 
vasaris                  12                       8 13 40 59 71 114 115 121 125 134 154 159 
vasariui                 2                        50 55 
vasarį                  6                        1 9 79 94 143 153 
vertė                   2                        73 182 
vienas                   5                        7 22 81 143 154 
vieno                    3                        90 98 170 
vienos                   3                        38 48 49 
vienu                    2                        15 185 
viršininkas             3                        165 171 175 
vis                      5                        42 86 137 146 169 
visa                     3                        35 41 77 
visados                  3                        50 60 175 
visai                    6                        40 63 88 114 154 175 
visas                    2                        66 136 
visi                     6                        10 110 115 119 136 142 
